"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.955151553998e-24,1.01599852519829,0.733,0.246,1.70470942650623e-19,"9","SNRPE"
8.7649946229654e-24,0.758571734667837,0.603,0.172,1.87825069775525e-19,"9","YWHAQ"
9.07499464539024e-24,0.798572953984112,0.276,0.052,1.94468060256067e-19,"9","HTATSF1"
9.13721650183491e-24,1.25208584700535,0.155,0.02,1.9580141241782e-19,"9","PIGF"
9.14080841485785e-24,1.63628904401236,0.147,0.018,1.95878383521989e-19,"9","IFT52"
9.14942628193679e-24,0.754891666146666,0.319,0.066,1.96063055795624e-19,"9","PFKL"
9.30824749369378e-24,0.988450821424876,0.164,0.022,1.99466435542364e-19,"9","MRPL39"
9.83336219146539e-24,1.42284460147334,0.172,0.024,2.10719118400912e-19,"9","OCEL1"
1.06630753357922e-23,0.988538886414108,0.198,0.03,2.28499041370692e-19,"9","IDH3A"
1.07134118462762e-23,2.17369481225136,0.103,0.009,2.29577702453853e-19,"9","AGK"
1.0738924077161e-23,1.79814852052783,0.086,0.007,2.30124404049484e-19,"9","SLC16A1"
1.10049353595974e-23,0.637454012818117,0.259,0.047,2.35824759820812e-19,"9","SMIM4"
1.10369446810283e-23,1.51585923018151,0.172,0.024,2.36510687569755e-19,"9","ANKHD1"
1.10559306601142e-23,0.807584673740428,0.509,0.136,2.36917538115588e-19,"9","MCL1"
1.11651213291526e-23,0.995824098227326,0.25,0.045,2.39257384962412e-19,"9","NDUFAF4"
1.12705739164694e-23,1.09305263571508,0.147,0.018,2.41517128456023e-19,"9","ENSG00000174374"
1.15280917091055e-23,0.769426567007808,0.75,0.237,2.47035477234422e-19,"9","UFC1"
1.1548983207562e-23,0.634213238848454,0.5,0.129,2.47483161154847e-19,"9","SNRPC"
1.16627014448771e-23,0.954248572633517,0.233,0.04,2.49920029262271e-19,"9","TFG"
1.1912853896094e-23,1.19709606096574,0.216,0.035,2.55280546139399e-19,"9","MAGOHB"
1.19425556424953e-23,0.979797897928181,0.207,0.032,2.55917024863032e-19,"9","C11orf24"
1.21516194298864e-23,0.739127615221658,0.31,0.063,2.60397052763036e-19,"9","NARS"
1.22128422881602e-23,0.809738413475412,0.491,0.128,2.61708997392985e-19,"9","STUB1"
1.25124089871546e-23,1.3899955458754,0.103,0.009,2.68128412185736e-19,"9","A1BG-AS1"
1.27251335910203e-23,1.49694441512771,0.103,0.009,2.72686887721973e-19,"9","CXorf40B"
1.35066449351632e-23,1.39709934488465,0.121,0.013,2.89433894315612e-19,"9","PRMT5"
1.39479214698881e-23,0.982409033290264,0.31,0.064,2.98890009178233e-19,"9","SSRP1"
1.48913709306457e-23,0.418688028320879,0.509,0.131,3.19107187672806e-19,"9","PNKD"
1.51593682844508e-23,1.07425970766909,0.216,0.035,3.24850102967495e-19,"9","RPUSD3"
1.54741096702312e-23,1.71216909082594,0.129,0.014,3.31594696123384e-19,"9","ACAD8"
1.5646159688122e-23,1.05567345564901,0.922,0.409,3.35281555956767e-19,"9","COX5B"
1.56753623031528e-23,1.93717606117099,0.138,0.016,3.35907338794261e-19,"9","TVP23B"
1.57915161845889e-23,1.7824598310782,0.095,0.008,3.38396400319556e-19,"9","MOXD1"
1.99400481154331e-23,1.55996847800027,0.138,0.016,4.27295291065617e-19,"9","XPNPEP1"
2.05748606577759e-23,0.716015093081288,0.629,0.185,4.40898689035479e-19,"9","CAPZA1"
2.18794304765207e-23,0.688273801037242,0.267,0.05,4.68854315681362e-19,"9","WDR13"
2.20265900612951e-23,2.46057859968801,0.078,0.006,4.72007798423492e-19,"9","MCAT"
2.25594688365577e-23,0.560971128717792,0.543,0.147,4.83426857698594e-19,"9","PDCD6"
2.33149244796844e-23,0.92835062764314,0.405,0.097,4.99615516675158e-19,"9","CPNE1"
2.36398327850453e-23,2.15666587276989,0.078,0.006,5.06577976750737e-19,"9","ENSG00000232698"
2.39509268993509e-23,0.882678930944667,0.491,0.13,5.1324441252619e-19,"9","PPP4C"
2.79319395051335e-23,0.935577363397078,0.405,0.097,5.98553531655506e-19,"9","SEPTIN2"
2.81126281268448e-23,1.24896241824323,0.164,0.022,6.02425508130156e-19,"9","HCCS"
2.97129662911982e-23,1.10967518952367,0.181,0.026,6.36719154654087e-19,"9","ATPAF1"
3.14405143825251e-23,0.822330573309544,0.25,0.045,6.73738782703131e-19,"9","PAIP1"
3.51729706215781e-23,0.498178563316139,0.509,0.133,7.53721587449796e-19,"9","PFDN2"
